entity_id_type,component_type,value_1,value_2,value_3,value_4
2_player,position_component,600,300,25,50
2_player,score_component,100
2_player,oxygen_component,500
28798_moon,position_component,750,650,500,500
17547_moon,position_component,-107,2740,124,124
67441_moon,position_component,-347,2450,109,109
61257_moon,position_component,-684,2223,114,114
89952_moon,position_component,-940,1939,101,101
58985_moon,position_component,-910,1434,119,119
31206_moon,position_component,-1199,1049,143,143
35382_moon,position_component,-1056,653,132,132
54947_moon,position_component,-1210,210,128,128
47953_moon,position_component,-979,-200,107,107
73482_moon,position_component,-601,-457,131,131
61231_moon,position_component,-452,-839,127,127
41187_moon,position_component,-162,-1073,125,125
21211_moon,position_component,283,-1048,118,118
53421_moon,position_component,636,-1257,115,115
86566_moon,position_component,1051,-1333,112,112
11135_moon,position_component,1390,-1113,140,140
55395_moon,position_component,1769,-1065,133,133
93357_moon,position_component,2213,-956,118,118
5802_moon,position_component,2356,-537,149,149
55795_moon,position_component,2580,-253,136,136
83087_moon,position_component,2780,136,105,105
44554_moon,position_component,2900,485,134,134
78422_moon,position_component,3063,842,128,128
15559_moon,position_component,2841,1255,108,108
5785_moon,position_component,2831,1638,146,146
3759_moon,position_component,2618,1958,124,124
52795_moon,position_component,2501,2344,126,126
99159_moon,position_component,2092,2438,145,145
51644_moon,position_component,1752,2594,102,102
96056_moon,position_component,1406,2915,124,124
79966_moon,position_component,967,2842,136,136
72444_moon,position_component,521,3024,140,140
50636_earth,position_component,-611,1043,277,277
18838_earth,position_component,-450,45,277,277
351_earth,position_component,314,-602,265,265
95693_earth,position_component,1316,-626,261,261
42561_earth,position_component,2107,-72,280,280
10033_earth,position_component,2327,875,295,295
72354_earth,position_component,2018,1698,282,282
63433_earth,position_component,1148,2199,288,288
14144_earth,position_component,302,2147,265,265
53801_sand,position_component,1283,5,271,271
516_sand,position_component,1686,813,296,296
70806_sand,position_component,1291,1520,267,267
55878_sand,position_component,394,1443,285,285
82054_sand,position_component,55,552,281,281
